n_elements,n_tables,n_headings,n_paragraphs,total_tokens,avg_chunk_tokens,clause_heading_ratio,parser,pdf,elapsed_sec,jsonl,total_pages,page_coverage,order_breaks,duplicate_ratio,noise_ratio,std_chunk_tokens,elapsed_per_page,avg_table_rows,numeric_cell_ratio
272,11,49,212,15979,58.28,0.143,unstructured,보금자리론설명서_220114 (2).pdf,65.351,./parser_outputs/보금자리론설명서_220114 (2).unstructured.jsonl,14,1.0,0,0.026,0.136,88.3,4.668,1.0,0.818
14,0,0,14,16568,1183.36,3.0,pymupdf,보금자리론설명서_220114 (2).pdf,0.076,./parser_outputs/보금자리론설명서_220114 (2).pymupdf.jsonl,14,1.0,0,0.0,0.0,273.94,0.005,0.0,0.0
571,7,0,564,18953,32.48,7.0,pdfminer,보금자리론설명서_220114 (2).pdf,1.795,./parser_outputs/보금자리론설명서_220114 (2).pdfminer.jsonl,14,1.0,0,0.142,0.203,41.39,0.128,1.71,0.083
41,27,0,14,21599,526.39,4.0,pdfplumber,보금자리론설명서_220114 (2).pdf,2.729,./parser_outputs/보금자리론설명서_220114 (2).pdfplumber.jsonl,14,1.0,0,0.024,0.0,546.02,0.195,7.56,0.497
14,3,0,11,16313,1165.14,3.0,llamaindex,보금자리론설명서_220114 (2).pdf,2.166,./parser_outputs/보금자리론설명서_220114 (2).llamaindex.jsonl,14,1.0,0,0.0,0.0,288.41,0.155,2.0,0.165
2143,2,52,2089,34766,16.0,0.019,unstructured,230918_금융소비자용 금소법 안내자료_f.pdf,2077.979,./parser_outputs/230918_금융소비자용 금소법 안내자료_f.unstructured.jsonl,57,1.0,0,0.572,0.602,38.81,36.456,1.0,0.5
53,0,0,53,20809,392.49,1.0,pymupdf,230918_금융소비자용 금소법 안내자료_f.pdf,0.207,./parser_outputs/230918_금융소비자용 금소법 안내자료_f.pymupdf.jsonl,57,0.93,0,0.0,0.0,253.84,0.004,0.0,0.0
667,1,0,666,20930,30.73,1.0,pdfminer,230918_금융소비자용 금소법 안내자료_f.pdf,1.131,./parser_outputs/230918_금융소비자용 금소법 안내자료_f.pdfminer.jsonl,57,0.93,0,0.024,0.028,15.62,0.02,2.0,0.0
92,39,0,53,28010,304.46,1.0,pdfplumber,230918_금융소비자용 금소법 안내자료_f.pdf,1.565,./parser_outputs/230918_금융소비자용 금소법 안내자료_f.pdfplumber.jsonl,57,0.93,0,0.391,0.402,214.02,0.027,1.31,0.001
53,0,0,53,20320,383.26,1.0,llamaindex,230918_금융소비자용 금소법 안내자료_f.pdf,1.045,./parser_outputs/230918_금융소비자용 금소법 안내자료_f.llamaindex.jsonl,57,0.93,0,0.0,0.0,247.87,0.018,0.0,0.0
383,14,32,337,22660,58.64,0.594,unstructured,financial_product_description_image (6).pdf,1038.652,./parser_outputs/financial_product_description_image (6).unstructured.jsonl,12,1.0,0,0.102,0.094,127.4,86.554,1.0,0.786
12,0,0,12,22946,1912.08,6.0,pymupdf,financial_product_description_image (6).pdf,0.123,./parser_outputs/financial_product_description_image (6).pymupdf.jsonl,12,1.0,0,0.0,0.0,515.3,0.01,0.0,0.0
669,24,11,634,25103,36.84,1.818,pdfminer,financial_product_description_image (6).pdf,2.006,./parser_outputs/financial_product_description_image (6).pdfminer.jsonl,12,1.0,0,0.143,0.164,35.98,0.167,1.21,0.144
85,73,0,12,57013,670.46,17.0,pdfplumber,financial_product_description_image (6).pdf,2.22,./parser_outputs/financial_product_description_image (6).pdfplumber.jsonl,12,1.0,0,0.094,0.141,844.73,0.185,12.3,0.23
12,12,0,0,22885,1907.0,6.0,llamaindex,financial_product_description_image (6).pdf,1.37,./parser_outputs/financial_product_description_image (6).llamaindex.jsonl,12,1.0,0,0.0,0.0,521.53,0.114,48.75,0.293
